player_name,player_number,count,avg(spi_score)
Christian McFarlane,18,4,6.75
Noel Buck,29,2,6.75
Mathieu Choiniere,29,2,6.75
Ruan,22,4,6.75
Ronald Donkor,48,11,6.745454545454546
Serhiy Kryvtsov,27,11,6.745454545454546
Andrew Privett,34,20,6.745
Patrick Yazbek,15,7,6.742857142857143
Khiry Shelton,11,12,6.741666666666666
Sam Adekugbe,3,17,6.741176470588235
Danny Leyva,75,5,6.739999999999999
DeAndre Yedlin,91,15,6.739999999999999
Gavin Beavers,35,5,6.739999999999999
Thiago Martins,13,23,6.739130434782608
Anderson Julio,29,18,6.73888888888889
Mathias Laborda,2,13,6.738461538461539
Aziel Jackson,25,3,6.733333333333333
Joao Paulo,6,18,6.733333333333333
Marlon,5,9,6.7333333333333325
Alan Velasco,20,9,6.7333333333333325
Teal Bunbury,12,10,6.7299999999999995
David Brekalo,4,4,6.725
Bret Halsey,15,4,6.725
Xherdan Shaqiri,10,4,6.725
Gaston Brugman,5,12,6.724999999999999
Julio Cascante,18,17,6.723529411764706
Zorhan Bassong,22,13,6.723076923076923
Kevin O'Toole,22,24,6.720833333333334
Gabriel Pirani,10,16,6.71875
Bongokuhle Hlongwane,21,22,6.718181818181819
Patrick Agyemang,33,22,6.713636363636365
Sam Junqua,29,18,6.705555555555555
Brad Guzan,1,22,6.704545454545454
Ali Ahmed,22,16,6.700000000000001
Dayne St. Clair,97,21,6.700000000000001
Ethan Bartlow,4,3,6.7
Brad Stuver,1,20,6.7
Bjørn Inge Utvik,15,14,6.7
Malachi Jones,88,3,6.7
Joshua Atencio,8,14,6.7
Sean Davis,54,7,6.7
Nathan,4,7,6.7
Ronald Hernández,2,15,6.7
Joel Waterman,16,10,6.7
Lachlan Brook,17,3,6.7
Martin Cáceres,22,2,6.7
Evan Bush,24,1,6.7
Djibril Diani,28,17,6.699999999999999
Mason Stajduhar,31,2,6.699999999999999
Tristan Muyumba,8,23,6.695652173913044
Juan Mosquera,29,16,6.6937500000000005
Aaron Long,33,22,6.690909090909091
Alonso Martinez,16,22,6.6909090909090905
Nökkvi Thorisson,29,18,6.688888888888887
Tyler Boyd,11,6,6.683333333333334
Nelson Palacio,13,11,6.681818181818182
Matthew Longstaff,8,11,6.681818181818182
Ilie Sanchez,6,15,6.6800000000000015
William Agada,23,15,6.679999999999999
Rodrigo Adrián Schlegel,15,23,6.678260869565217
Logan Ndenbe,18,9,6.677777777777776
Guilherme Biro,29,8,6.675000000000001
Jere Uronen,21,11,6.672727272727273
Peter Stroud,5,10,6.67
Jack Lynn,27,3,6.666666666666667
Allan Arigoni,27,9,6.666666666666667
Luka Gavran,90,3,6.666666666666667
D.J. Taylor,27,9,6.666666666666667
Jesus Bueno,20,6,6.666666666666667
Tim Melia,29,8,6.6625
Gabriele Corbo,25,13,6.661538461538461
Robin Jansson,6,23,6.660869565217392
Henry Kessler,5,12,6.658333333333334
Jonathan Dean,24,7,6.657142857142857
Derrick Williams,3,23,6.656521739130435
Jayden Reid,99,9,6.655555555555555
Luca Langoni,41,13,6.653846153846154
Rafael Czichos,5,13,6.653846153846152
Jules-Anthony Vilsaint,28,8,6.65
Sebastian Anderson,22,2,6.65
Leo Väisänen,15,4,6.65
Devin Padelford,2,6,6.6499999999999995
Lassi Lappalainen,21,4,6.6499999999999995
Sebastian Berhalter,16,22,6.645454545454545
Christopher McVey,97,16,6.64375
Xande Silva,16,21,6.642857142857143
Tani Oluwaseyi,14,15,6.64
Jefferson Diaz,28,15,6.64
Matt Miazga,21,3,6.633333333333333
Leonardo Campana,8,12,6.633333333333333
Ranko Veselinovic,4,22,6.631818181818182
Maxime Crepeau,16,7,6.628571428571429
Alan Pulido,9,15,6.626666666666666
Sergio Santos,17,15,6.626666666666666
